Time,Time Code,Country Name,Country Code,CO2 emissions (kt) [EN.ATM.CO2E.KT],Electricity production from coal sources (% of total) [EG.ELC.COAL.ZS],Alternative and nuclear energy (% of total energy use) [EG.USE.COMM.CL.ZS],Electricity production from hydroelectric sources (% of total) [EG.ELC.HYRO.ZS],Electricity production from natural gas sources (% of total) [EG.ELC.NGAS.ZS],Electricity production from nuclear sources (% of total) [EG.ELC.NUCL.ZS],Electricity production from oil sources (% of total) [EG.ELC.PETR.ZS],"Electricity production from oil, gas and coal sources (% of total) [EG.ELC.FOSL.ZS]","Electricity production from renewable sources, excluding hydroelectric (% of total) [EG.ELC.RNWX.ZS]","Population, total [SP.POP.TOTL]",GDP per capita (current US$) [NY.GDP.PCAP.CD]
2015,YR2015,Guinea-Bissau,GNB,278.692,..,..,..,..,..,..,..,..,1737202,603.401118246693
2015,YR2015,Guyana,GUY,2016.85,..,..,..,..,..,..,..,..,767432,5576.83333734239
2015,YR2015,Haiti,HTI,2933.6,0,..,7.99614643545279,0,..,92.0038535645472,92.0038535645472,0,10695542,1389.11951950807
2015,YR2015,Honduras,HND,10018.244,1.03736754043503,..,26.1015058561071,0,..,56.6871165644172,57.7244841048522,16.1740100390407,9112916,2302.20137936204
2015,YR2015,"Hong Kong SAR, China",HKG,42647.21,65.440441756508,..,0,33.7891138574809,..,0.491717065474625,99.7212726794636,0.278727320536419,7291300,42431.8882817277
2015,YR2015,Hungary,HUN,44418.371,19.471359831257,18.4514634352703,0.77120822622108,16.8347505108431,52.1850899742931,0.253773647089842,36.5598839891899,9.8114824335904,9843028,12706.8912148924
2015,YR2015,Iceland,ISL,1987.514,0,37.5169341332485,73.3070908027023,0,0,0.021277727538699,0.021277727538699,26.671631469759,330815,52564.4291794558
2015,YR2015,India,IND,2337749.17,75.3093989605236,..,9.9820390975008,4.92319617296841,..,1.65950351553575,81.8920986490278,5.36101124797904,1310152403,1605.60543355488
2015,YR2015,Indonesia,IDN,512749.276,55.7764633479212,..,5.87262376914661,25.1700971006565,..,8.39801012035011,89.3445705689278,4.7785318654267,258383256,3331.69512758628
2015,YR2015,"Iran, Islamic Rep.",IRN,650078.426,0.164627823527525,..,5.02079228030916,79.2665153421016,..,14.4256021209195,93.8567452865486,0.084095598165576,78492215,4904.32687747976
2015,YR2015,Iraq,IRQ,167273.872,0,..,3.7317547372392,24.4174574156293,..,25.7319868837236,50.1494442993529,0,35572261,4989.80307473071
2015,YR2015,Ireland,IRL,35907.264,17.3458130182569,4.80014899386715,2.87198832698673,44.0122424285562,0,1.44845012278017,62.8065055695932,25.0934196946511,4701957,61995.4228025802
2015,YR2015,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,83234,85124.9249839193
2015,YR2015,Israel,ISR,66207.685,45.4037305764021,5.2453220351346,0.037368044094292,51.6130539034036,0,0.652383769812848,97.6691682496185,1.85283218634198,8380100,35776.7951618068
2015,YR2015,Italy,ITA,..,16.1200730212174,6.32722059410873,16.1733472556666,39.3732108736264,0,4.75348235912517,60.2467662539689,22.5058779238676,60730582,30230.2263021296
2015,YR2015,Jamaica,JAM,7572.355,0,..,3.12954876273654,0,..,89.7379912663755,89.7379912663755,7.13245997088792,2891021,4907.50371974316
2015,YR2015,Japan,JPN,1163803.124,33.1527356254335,3.09202073923516,8.22909281286162,39.5872171982853,0.911553166046214,7.51942012970579,80.2593729534245,7.75568791016029,127141000,34524.4698609337
2015,YR2015,Jordan,JOR,26200.715,0,..,0.278741979593983,48.4432523403808,..,50.5890396549911,99.0322919953718,0.688966025034185,9266575,4164.10787635509
2015,YR2015,Kazakhstan,KAZ,242091.673,71.5689221174437,..,8.70590224292745,18.3933200586092,..,1.16372994702634,91.1259721230792,0.168125633993313,17542806,10510.7718884149
2015,YR2015,Kenya,KEN,17018.547,0,..,39.2394570510828,0,..,12.4857527717335,12.4857527717335,48.2747901771837,47878336,1336.88334885603
2015,YR2015,Kiribati,KIR,62.339,..,..,..,..,..,..,..,..,110930,1542.5752495838
2015,YR2015,"Korea, Dem. People’s Rep.",PRK,25423.311,21.2855790929606,..,72.7960981291403,0,..,5.9183227778991,27.2039018708597,0,25183833,..
2015,YR2015,"Korea, Rep.",KOR,597354.3,43.0762564044674,15.9628201690884,0.390731684224709,22.3689337358392,29.998943968421,2.27920746650741,67.724397606814,1.50393462800377,51014947,28732.2310762599
2015,YR2015,Kosovo,XKX,8408.431,97.4669063572479,..,2.2879555482922,0,..,0.245138094459879,97.7120444517078,0,1788196,3603.02550073134
2015,YR2015,Kuwait,KWT,92984.119,0,..,0,36.4189169292382,..,63.5810830707618,100,0,3835591,29869.5293908248
2015,YR2015,Kyrgyz Republic,KGZ,10447.283,13.2156561780507,..,85.1880276285495,1.30468150422103,..,0.291634689178818,14.8119723714505,0,5956900,1121.08283510739
2015,YR2015,Lao PDR,LAO,9046.489,..,..,..,..,..,..,..,..,6741164,2134.71179567796
2015,YR2015,Latvia,LVA,7007.637,0,..,33.6164829206579,49.8102295318995,..,0.018073377914332,49.8283029098138,16.5552141695283,1977527,13774.6052739114
2015,YR2015,Lebanon,LBN,24469.891,0,..,2.60382691889541,0,..,97.3961730811046,97.3961730811046,0,6532678,7644.54865718212
2015,YR2015,Lesotho,LSO,2346.88,..,..,..,..,..,..,..,..,2059021,1152.13982883937
2015,YR2015,Liberia,LBR,1239.446,..,..,..,..,..,..,..,..,4472230,710.383857717515
2015,YR2015,Libya,LBY,56996.181,0,..,0,53.7003155410601,..,46.2996844589399,100,0,6418315,4337.91913919348
2015,YR2015,Liechtenstein,LIE,51.338,..,..,..,..,..,..,..,..,37470,167290.939983907
2015,YR2015,Lithuania,LTU,13083.856,0,..,8.19633630812588,46.4772193518084,..,6.45843118835134,52.9356505401597,31.2118365429779,2904910,14258.2293345128
2015,YR2015,Luxembourg,LUX,9251.841,0,3.71309534214227,7.43801652892562,62.6596543951916,0,0,62.6596543951916,24.9436513899324,569604,101376.496574339
2015,YR2015,"Macao SAR, China",MAC,2090.19,..,..,..,..,..,..,..,..,602085,75340.9869811152
2015,YR2015,Madagascar,MDG,3644.998,..,..,..,..,..,..,..,..,24234088,467.235399432808
2015,YR2015,Malawi,MWI,1151.438,..,..,..,..,..,..,..,..,16745303,380.597033140938
2015,YR2015,Malaysia,MYS,234823.679,42.2813293099658,..,9.27506111655109,46.6031187759371,..,1.15838345889704,90.0428315447999,0.682107338648975,30270962,9955.24370828938
2015,YR2015,Maldives,MDV,1301.785,..,..,..,..,..,..,..,..,454915,9033.43986680388
2015,YR2015,Mali,MLI,3168.288,..,..,..,..,..,..,..,..,17438778,751.474788898858
2015,YR2015,Malta,MLT,1620.814,0,..,0,0,..,92.3254029163469,92.3254029163469,7.67459708365311,445053,24921.6035735846
2015,YR2015,Marshall Islands,MHL,143.013,..,..,..,..,..,..,..,..,57439,3213.83728825363
2015,YR2015,Mauritania,MRT,2893.263,..,..,..,..,..,..,..,..,4046301,1524.07288252212
2015,YR2015,Mauritius,MUS,4213.383,39.4394394394394,..,4.07073740407074,0,..,37.8378378378378,77.2772772772773,18.651985318652,1262605,9260.44730250635
